publisher_primary,baseline_score,baseline_rank,min_score,max_score,mean_score,score_range,score_std,min_rank,max_rank,rank_range,mean_absolute_rank_change,top_5_frequency,top_10_frequency,top_20_frequency
Valve,0.7830720422254429,1.0,0.6892055039532248,0.876938580497661,0.7830720422254429,0.18773307654443627,0.06294157983298354,1.0,8.0,7.0,1.011764705882353,0.9058823529411765,1.0,1.0
Coffee Stain Publishing,0.7670530385767992,2.0,0.6782145529144672,0.8558915242391312,0.7670530385767991,0.17767697132466398,0.04440731359192339,1.0,4.0,3.0,0.3176470588235294,1.0,1.0,1.0
PlayStation Publishing LLC,0.7644461085856509,3.0,0.6973853828946771,0.8315068342766244,0.7644461085856508,0.1341214513819473,0.033078942453238884,1.0,3.0,2.0,0.7529411764705882,1.0,1.0,1.0
"CAPCOM Co., Ltd.",0.7402243329800834,4.0,0.664325485063407,0.8161231808967596,0.7402243329800834,0.15179769583335256,0.03403532989157599,2.0,5.0,3.0,0.24705882352941178,1.0,1.0,1.0
Bandai Namco Entertainment,0.7196097439926157,5.0,0.6418710273657692,0.7973484606194621,0.7196097439926157,0.1554774332536929,0.03332530804096703,5.0,8.0,3.0,0.8705882352941177,0.5176470588235295,1.0,1.0
Xbox Game Studios,0.7108064746967663,6.0,0.6192606516422016,0.802352297751331,0.7108064746967663,0.18309164610912942,0.04307773707198385,5.0,12.0,7.0,1.3411764705882352,0.023529411764705882,0.9529411764705882,1.0
Hooded Horse,0.7103862332419327,7.0,0.6319661259766844,0.7888063405071812,0.7103862332419327,0.1568402145304968,0.031852117784722044,3.0,13.0,10.0,1.8588235294117648,0.18823529411764706,0.8823529411764706,1.0
Electronic Arts,0.7062193048331822,8.0,0.6358898160543622,0.7765487936120021,0.7062193048331822,0.1406589775576399,0.03467602432033741,5.0,14.0,9.0,1.0941176470588236,0.03529411764705882,0.9529411764705882,1.0
Klei Entertainment,0.6984768395611889,9.0,0.583553570814724,0.8134001083076537,0.6984768395611889,0.22984653749292971,0.05917216446074475,4.0,45.0,41.0,5.9411764705882355,0.27058823529411763,0.5764705882352941,0.8588235294117647
Raw Fury,0.6857915968380945,10.0,0.5977043698472493,0.77387882382894,0.6857915968380945,0.17617445398169074,0.036299699277150134,9.0,17.0,8.0,1.964705882352941,0.0,0.27058823529411763,1.0
Frontier Developments,0.6857428706669221,11.0,0.600221538783647,0.7712642025501972,0.6857428706669222,0.1710426637665502,0.04035139506560408,9.0,27.0,18.0,1.7411764705882353,0.0,0.3058823529411765,0.9764705882352941
Warner Bros. Games,0.6808202640096324,12.0,0.6057641972367127,0.7558763307825523,0.6808202640096324,0.15011213354583963,0.04022928813060901,9.0,50.0,41.0,4.011764705882353,0.0,0.24705882352941178,0.9058823529411765
Arc Games,0.6769752208427152,13.0,0.5964138900771293,0.7575365516083012,0.6769752208427153,0.16112266153117194,0.039035457066105464,10.0,32.0,22.0,3.023529411764706,0.0,0.011764705882352941,0.9058823529411765
New Blood Interactive,0.6743651896322819,14.0,0.5713089318329235,0.7774214474316401,0.6743651896322819,0.20611251559871657,0.04540606453275936,7.0,50.0,43.0,6.305882352941176,0.0,0.25882352941176473,0.7058823529411765
