scenario_label,publisher_primary,rank
BASELINE,Valve,1
BASELINE,Coffee Stain Publishing,2
BASELINE,PlayStation Publishing LLC,3
BASELINE,"CAPCOM Co., Ltd.",4
BASELINE,Bandai Namco Entertainment,5
BASELINE,Xbox Game Studios,6
BASELINE,Hooded Horse,7
BASELINE,Electronic Arts,8
BASELINE,Klei Entertainment,9
BASELINE,Raw Fury,10
SCALE_REACH,Valve,1
SCALE_REACH,Coffee Stain Publishing,2
SCALE_REACH,PlayStation Publishing LLC,3
SCALE_REACH,"CAPCOM Co., Ltd.",4
SCALE_REACH,Xbox Game Studios,5
SCALE_REACH,Bandai Namco Entertainment,6
SCALE_REACH,Electronic Arts,7
SCALE_REACH,Klei Entertainment,8
SCALE_REACH,Hooded Horse,9
SCALE_REACH,Warner Bros. Games,10
QUALITY,Valve,1
QUALITY,Coffee Stain Publishing,2
QUALITY,PlayStation Publishing LLC,3
QUALITY,"CAPCOM Co., Ltd.",4
QUALITY,Bandai Namco Entertainment,5
QUALITY,Xbox Game Studios,6
QUALITY,Hooded Horse,7
QUALITY,Klei Entertainment,8
QUALITY,New Blood Interactive,9
QUALITY,Electronic Arts,10
ENGAGEMENT,Valve,1
ENGAGEMENT,Coffee Stain Publishing,2
ENGAGEMENT,PlayStation Publishing LLC,3
ENGAGEMENT,"CAPCOM Co., Ltd.",4
ENGAGEMENT,Bandai Namco Entertainment,5
ENGAGEMENT,Hooded Horse,6
ENGAGEMENT,Xbox Game Studios,7
ENGAGEMENT,Electronic Arts,8
ENGAGEMENT,Klei Entertainment,9
ENGAGEMENT,Frontier Developments,10
MOMENTUM,PlayStation Publishing LLC,1
MOMENTUM,Coffee Stain Publishing,2
MOMENTUM,"CAPCOM Co., Ltd.",3
MOMENTUM,Valve,4
MOMENTUM,Hooded Horse,5
MOMENTUM,Bandai Namco Entertainment,6
MOMENTUM,IndieArk,7
MOMENTUM,Electronic Arts,8
MOMENTUM,Xbox Game Studios,9
MOMENTUM,Raw Fury,10
