publisher,owners_mid,owners_mid_scaled,language_count,language_count_scaled,review_score,concurrent_users,engagement_ratio,total_games_count,recent_games_count,recent_games_ratio
"""RevDay Studio""",10000,9.210440367,5,1.7917594692,0.7777777778,0,0,1,0,0
#30A6D-S (Kuma),10000,9.210440367,2,1.0986122887,0,0,0,1,1,1
$mitE,10000,9.210440367,1,0.6931471806,0,0,0,1,1,1
&lt;EyE&gt;game,35000,10.4631319115,1,0.6931471806,0,0,0,1,0,0
((no-end-parens Studio,10000,9.210440367,1,0.6931471806,0,0,0,1,0,0
(Mark Ainsworth),50000,10.8197982842,1,0.6931471806,0,0,0,5,5,1
(Myco),350000,12.7656912906,7,2.0794415417,1,250,0.0007142857,1,1,1
(none),785000,13.5734402706,1,0.6931471806,0.6669855442,104,0.0001324841,2,0,0
(STCG) Smoker The Car Game,10000,9.210440367,1,0.6931471806,0,0,0,1,0,0
(주)펀웨이브,10000,9.210440367,1,0.6931471806,0,0,0,1,0,0
++Good Games,10000,9.210440367,1,0.6931471806,0.7777777778,0,0,1,0,0
+7 Software,45000,10.7144399907,1,0.6931471806,0.8888888889,1,0.0000222222,2,0,0
+Mpact Games,75000,11.2252567258,10,2.3978952728,0.6666666667,0,0,1,0,0
+Umbrella,10000,9.210440367,1,0.6931471806,0.7777777778,0,0,1,1,1
---,10000,9.210440367,1,0.6931471806,0,0,0,1,0,0
-D-BUG-,10000,9.210440367,1,0.6931471806,0,0,0,1,1,1
-In.,35000,10.4631319115,1,0.6931471806,0.6666666667,0,0,1,0,0
-Yodasaurus- Games,30000,10.3089859934,1,0.6931471806,0.6425120773,0,0,3,0,0
-yu-,20000,9.9035375513,1,0.6931471806,0,0,0,2,2,1
-乌鸦男-,10000,9.210440367,1,0.6931471806,0.8888888889,1,0.0001,1,1,1
.,20000,9.9035375513,1,0.6931471806,0.4093567251,0,0,2,0,0
...,85000,11.3504183001,1,0.6931471806,0.7777777778,0,0,2,0,0
.Cat,10000,9.210440367,2,1.0986122887,0.7777777778,1,0.0001,1,0,0
.ez Games,20000,9.9035375513,2,1.0986122887,0.8338164251,0,0,2,0,0
.Life Gaming Studio,10000,9.210440367,1,0.6931471806,0,0,0,1,0,0
.M.Y.W.,20000,9.9035375513,19,2.9957322736,0.7478632479,0,0,2,0,0
.NetXCore,10000,9.210440367,1,0.6931471806,0.7777777778,0,0,1,1,1
.orphans,35000,10.4631319115,1,0.6931471806,1,2,0.0000571429,1,1,1
.ToNg,30000,10.3089859934,1,0.6931471806,0,0,0,3,0,0
0 Deer Soft Partnership,90000,11.4075760604,1,0.6931471806,0.8110328638,22,0.0002444444,4,1,0.25
0-Game Studios,10000,9.210440367,2,1.0986122887,0.7777777778,0,0,1,1,1
0.0 Studio,10000,9.210440367,2,1.0986122887,0,0,0,1,1,1
001,30000,10.3089859934,4,1.6094379124,0.6202686203,0,0,3,3,1
00110110,10000,9.210440367,1,0.6931471806,0,0,0,1,1,1
001Studios,10000,9.210440367,6,1.9459101491,0,0,0,1,0,0
007berd,35000,10.4631319115,2,1.0986122887,0.8888888889,0,0,1,0,0
01 Games,10000,9.210440367,3,1.3862943611,0.7777777778,0,0,1,1,1
01 Studio,20000,9.9035375513,8,2.1972245773,0,3,0.00015,2,0,0
011 Games,110000,11.6082447356,2,1.0986122887,0.9863330443,18,0.0001636364,2,1,0.5
021Workshop,75000,11.2252567258,2,1.0986122887,0.8888888889,3,0.00004,1,0,0
027 Studios,10000,9.210440367,1,0.6931471806,0,0,0,1,1,1
02GAMES,460000,13.0389839424,8,2.1972245773,0.9943891984,17,0.0000369565,3,0,0
072 Project,405000,12.9116448152,6,1.9459101491,0.8051084955,216,0.0005333333,34,33,0.9705882353
08Night Games,10000,9.210440367,1,0.6931471806,0,0,0,1,1,1
0_stamina,35000,10.4631319115,1,0.6931471806,0,0,0,1,1,1
0Cube,470000,13.0604901013,3,1.3862943611,0.8513177185,1,0.0000021277,15,0,0
0cube,10000,9.210440367,1,0.6931471806,0,0,0,1,0,0
0Dark&amp;Nerdy,150000,11.9183972397,1,0.6931471806,0.6666666667,1,0.0000066667,1,0,0
0Dark&Nerdy,10000,9.210440367,1,0.6931471806,0,0,0,1,0,0
0o0,10000,9.210440367,1,0.6931471806,0.4444444444,0,0,1,0,0
0UP GAMES,225000,12.3238601256,3,1.3862943611,0.975356016,39,0.0001733333,2,2,1
0x55,10000,9.210440367,3,1.3862943611,0.6666666667,0,0,1,0,0
1 Flame Studio,10000,9.210440367,1,0.6931471806,0,0,0,1,0,0
1 Look Games,10000,9.210440367,1,0.6931471806,0,0,0,1,0,0
1 Trait Danger,10000,9.210440367,1,0.6931471806,0.8888888889,0,0,1,0,0
1.5 hp games,10000,9.210440367,2,1.0986122887,0,0,0,1,0,0
1.5次創作,10000,9.210440367,2,1.0986122887,0,0,0,1,1,1
1/13s,10000,9.210440367,2,1.0986122887,0,0,0,1,0,0
1/2ofOctahedron,35000,10.4631319115,3,1.3862943611,0,0,0,1,0,0
10 Chambers,1500000,14.2209763327,12,2.5649493575,0.8888888889,670,0.0004466667,1,0,0
10 games studios,30000,10.3089859934,1,0.6931471806,0.291005291,0,0,3,3,1
10-2 Knees,10000,9.210440367,1,0.6931471806,0,0,0,1,1,1
100 GAMES,20000,9.9035375513,15,2.7725887222,0.6716232962,1,0.00005,2,2,1
100 Plus Games llc,10000,9.210440367,1,0.6931471806,0,0,0,1,0,0
100 Stones Interactive,20000,9.9035375513,10,2.3978952728,0.8865310934,8,0.0004,2,0,0
100 Stories Tall,10000,9.210440367,1,0.6931471806,0,0,0,1,1,1
1000-REKA,10000,9.210440367,3,1.3862943611,0.8888888889,6,0.0006,1,1,1
1001 Apps Studio,10000,9.210440367,1,0.6931471806,0,0,0,1,0,0
1001 Studio,350000,12.7656912906,1,0.6931471806,0.8888888889,0,0,1,0,0
100Hr Games,35000,10.4631319115,1,0.6931471806,0.6666666667,0,0,1,0,0
100th Coin,10000,9.210440367,1,0.6931471806,0.7777777778,0,0,1,1,1
1010 Games Ltd,10000,9.210440367,16,2.8332133441,0.5555555556,96,0.0096,1,1,1
10101 Software,20000,9.9035375513,1,0.6931471806,0.5828092243,0,0,2,0,0
1013133 Simulations,10000,9.210440367,1,0.6931471806,0,0,0,1,0,0
101XP,1080000,13.892472525,13,2.6390573296,0.8255327245,124,0.0001148148,12,3,0.25
1047 Games,7500000,15.8304137118,15,2.7725887222,0.8888888889,229,0.0000305333,1,0,0
107,10000,9.210440367,1,0.6931471806,0,0,0,1,1,1
1081GAMES,10000,9.210440367,5,1.7917594692,0,0,0,1,0,0
109 Below,20000,9.9035375513,1,0.6931471806,0.4728132388,0,0,2,1,0.5
10Ants Hill,10000,9.210440367,1,0.6931471806,0,1,0.0001,1,0,0
10F,150000,11.9183972397,1,0.6931471806,0.8888888889,0,0,1,0,0
10ft Games,10000,9.210440367,6,1.9459101491,0.5555555556,0,0,1,0,0
10mg,120000,11.6952553551,29,3.4011973817,0.8386050284,0,0,7,0,0
10ravens s.r.o.,10000,9.210440367,1,0.6931471806,0,0,0,1,0,0
10th Reality,10000,9.210440367,1,0.6931471806,0.7777777778,0,0,1,0,0
10tons Ltd,2220000,14.6130182043,16,2.8332133441,0.8818479888,198,0.0000891892,18,1,0.0555555556
10x10 Room,35000,10.4631319115,1,0.6931471806,0.6666666667,0,0,1,0,0
11 bit studios,15230000,16.5387777905,30,3.4339872045,0.8733950186,6393,0.0004197636,19,5,0.2631578947
11/10 games,30000,10.3089859934,5,1.7917594692,0.6553240741,2,0.0000666667,3,1,0.3333333333
110 Industries SA,350000,12.7656912906,6,1.9459101491,0.5555555556,15,0.0000428571,1,1,1
11000AD,20000,9.9035375513,8,2.1972245773,0.623015873,0,0,2,1,0.5
11PLANNING,95000,11.4616426968,2,1.0986122887,0.3968253968,0,0,3,2,0.6666666667
11Sheep,105000,11.5617251529,16,2.8332133441,0.8731762065,1,0.0000095238,4,0,0
12 East Games,10000,9.210440367,1,0.6931471806,0.8888888889,0,0,1,0,0
12 to 6 Studios LLC,10000,9.210440367,1,0.6931471806,0.7777777778,0,0,1,0,0
123 studio,10000,9.210440367,1,0.6931471806,0,0,0,1,0,0
12B3,10000,9.210440367,4,1.6094379124,0.8888888889,1,0.0001,1,0,0
12G,10000,9.210440367,1,0.6931471806,0.7777777778,0,0,1,1,1
