rank,publisher_primary,game_count,scale_reach_score,quality_score,engagement_score,momentum_score,overall_score
1,Valve,36,0.9158921865635113,0.915982630710754,0.9385749385749386,0.0,0.7830720422254429
2,Coffee Stain Publishing,13,0.7433754582342671,0.9192777499172354,0.9656019656019657,0.2531194006616129,0.7670530385767992
3,PlayStation Publishing LLC,18,0.7360198031856569,0.8365172112988634,0.9754299754299754,0.40532012663344513,0.7644461085856509
4,"CAPCOM Co., Ltd.",41,0.6580200269995072,0.8353520064333331,0.9901719901719902,0.4085154904390525,0.7402243329800834
5,Bandai Namco Entertainment,25,0.5979318630940145,0.8185585511866312,0.995085995085995,0.438325516910148,0.7196097439926157
6,Xbox Game Studios,57,0.6502594628658107,0.8408727267219145,0.9705159705159704,0.24567100382642754,0.7108064746967663
7,Hooded Horse,14,0.5193664773635147,0.8428951196151281,0.9852579852579852,0.5245855548571147,0.7103862332419327
8,Electronic Arts,105,0.6545372863923667,0.7408576295617584,0.9926289926289926,0.3756544480101853,0.7062193048331822
9,Klei Entertainment,12,0.6861038085880562,0.9127320734482821,0.9226044226044228,0.0,0.6984768395611889
10,Raw Fury,49,0.5244527972662119,0.8277585274012882,0.972972972972973,0.39540643319959573,0.6857915968380945
11,Frontier Developments,11,0.6186211100737659,0.7705561731704735,0.9815724815724816,0.27829422583643815,0.6857428706669221
12,Warner Bros. Games,17,0.664011163407614,0.6950044636385924,0.993857493857494,0.27429012635927363,0.6808202640096324
13,Arc Games,13,0.6360034465584204,0.7745887347284739,0.92014742014742,0.2531194006616129,0.6769752208427152
14,New Blood Interactive,10,0.5404088530652988,0.972253327476558,0.8095823095823096,0.21086420599998593,0.6743651896322819
15,IndieArk,14,0.33960863160353405,0.8519238595727043,0.8955773955773956,0.7754144451428853,0.6698678248199601
16,SEGA,222,0.5196050774834984,0.8240939584427713,0.9717444717444718,0.29912286932246424,0.6683072893993197
17,Ubisoft,151,0.5943066451492844,0.7230105656855605,0.968058968058968,0.33127706157547354,0.6682138483560324
18,Team17,45,0.5250614031086129,0.7438126808057852,0.9250614250614252,0.5011048513044463,0.6670933080377022
19,Private Division,11,0.567198660388646,0.7442918884787091,0.907862407862408,0.42092040982729584,0.6665176407262148
20,11 bit studios,19,0.5484479849019979,0.7875840251103132,0.92997542997543,0.30608787394212844,0.6601402693351984
21,2K,84,0.6033257075335574,0.7099999601924958,0.9987714987714988,0.22198679330011178,0.6572163044438103
22,Bethesda Softworks,66,0.6425392835785306,0.7583397833267946,0.8771498771498771,0.19364768255456863,0.6568678120636848
23,Rockstar Games,18,0.6509809785651888,0.7461740204631098,0.85995085995086,0.2146578622000745,0.6558843999569322
24,Yogscast Games,18,0.39452081291884367,0.8181892992151372,0.8894348894348895,0.612142253641152,0.6532473902192871
25,Square Enix,161,0.5139835250946512,0.7340327622990741,0.9864864864864864,0.3413185493452938,0.6485991421719415
26,2 Left Thumbs,15,0.271710241065706,0.9306474966121496,0.8820638820638821,0.6455220682000604,0.6475339199994274
27,WB Games,10,0.6143498884432994,0.8172695919227988,0.9348894348894348,0.0,0.6471812255098814
28,Devolver Digital,132,0.5072206218945605,0.8487376060307107,0.8071253071253072,0.3341351543347493,0.6436938340475832
29,Annapurna Interactive,32,0.5144982366413954,0.8771680751548026,0.7714987714987716,0.3032367933001118,0.6430100786657001
30,HypeTrain Digital,26,0.45294281336635156,0.8235024044809266,0.9447174447174448,0.2994041953615293,0.6394348242702194
31,KONAMI,36,0.48554183846506815,0.7260374749216529,0.9803439803439804,0.3649921835768146,0.6385685095445881
32,Skybound Games,15,0.501367927055485,0.8517221481473585,0.7223587223587223,0.40094265689999087,0.6356085619203704
33,PlayWay S.A.,79,0.4107340417971802,0.777858110110955,0.945945945945946,0.45934460246270825,0.635205227220895
34,Activision,65,0.6194969499245658,0.7436739522990881,0.8144963144963145,0.19434698325386934,0.6319774285506679
35,Dire Wolf,12,0.34656453906103313,0.8753085427315277,0.9791154791154792,0.33311365577103835,0.6296802956795715
36,"Spike Chunsoft Co., Ltd.",52,0.36237037237026337,0.8429167806414573,0.9594594594594594,0.3855163233094858,0.6294240049103441
37,Humble Games,46,0.4421309005572825,0.8180486256818789,0.8845208845208845,0.3490003290696257,0.6294146291642333
38,Focus Entertainment,66,0.5038098110625556,0.7127016265633126,0.9373464373464372,0.33645340618184627,0.6280812202374526
39,Future Friends Games,10,0.3464055699261567,0.8687089863433944,0.8869778869778869,0.4481931371000232,0.626479193337754
