scenario_id,scale_reach_weight,quality_weight,engagement_weight,momentum_weight,weight_distance_from_baseline,publisher_primary,overall_score,rank,baseline_rank,rank_change,absolute_rank_change
S000,0.35,0.3,0.2,0.15,0.0,072 Project,0.5626674300785469,105.0,105.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,0Cube,0.3108948000502189,619.0,619.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,101XP,0.508051199510438,210.0,210.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,10tons Ltd,0.4900510241085885,234.0,234.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,11 bit studios,0.6601402693351984,20.0,20.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,2 Left Thumbs,0.6475339199994274,26.0,26.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,2Awesome Studio,0.37860365781057653,482.0,482.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,2K,0.6572163044438103,21.0,21.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,2P Games,0.6089828491943394,57.0,57.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,3000AD,0.166142237502066,779.0,779.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,3D Realms,0.4560617359087308,299.0,299.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,3dm_live_wallpapers,0.47238813521450923,268.0,268.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,430Games,0.4423830340409617,328.0,328.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,505 Games,0.58440103231089,80.0,80.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,616 GAMES,0.41893131965191627,380.0,380.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,727 Not Hound,0.46385782465546854,283.0,283.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,7DOTS,0.37267138747136724,492.0,492.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,7miao game,0.2986297001884315,642.0,642.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,8Floor,0.438892128047136,331.0,331.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,8floor,0.34790993422890776,550.0,550.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,AFBIK Studio,0.3442247248723542,555.0,555.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,AK Studio,0.3100184749100349,620.0,620.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,ALPHY,,,,,
S000,0.35,0.3,0.2,0.15,0.0,AMG GAMES,0.3284700302462413,584.0,584.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,ANPA.US,0.2508723769234334,713.0,713.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,ARTE France,0.44524000420600673,322.0,322.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,ARTLINK,0.3188034312271891,605.0,605.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,Absolutist Ltd.,0.3728787211472054,490.0,490.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,Abyssal Studios,0.3592340845592134,526.0,526.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,Accelerate Games,0.4017274803448227,428.0,428.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,Activision,0.6319774285506679,34.0,34.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,Adamvision Studios,0.496970755181781,226.0,226.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,Aerosoft GmbH,0.5204326250473151,181.0,181.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,Afil Games,0.40541790968903296,416.0,416.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,Ahlman Game Studio,0.21534706041765989,756.0,756.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,Airem,0.40579412309533225,415.0,415.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,Akella,0.36568482519963064,507.0,507.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,Aksys Games,0.45848654718430015,295.0,295.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,Akupara Games,0.6040147586191286,62.0,62.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,Alawar,0.6155494218876745,49.0,49.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,Alawar Casual,0.48403976406912,244.0,244.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,Aldorlea Games,0.34927534403174393,545.0,545.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,Alternative Software Ltd,0.3481028467741775,548.0,548.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,Amaterasu Software,0.34593210333194874,553.0,553.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,Ammonite Design Studios Ltd,0.26790943086986485,695.0,695.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,Anamik Majumdar,0.21465099134811896,758.0,758.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,Anarchy Enterprises,0.24775336144472143,719.0,719.0,0.0,0.0
S000,0.35,0.3,0.2,0.15,0.0,Anatoliy Loginovskikh,0.40871375021291095,405.0,405.0,0.0,0.0
