scenario_id,scale_reach_weight,quality_weight,engagement_weight,momentum_weight,weight_distance_from_baseline,mean_absolute_rank_change,spearman_correlation,top_5_overlap,top_10_overlap,top_20_overlap
S000,0.35,0.3,0.2,0.15,0.0,0.0,0.9999999999999999,1.0,1.0,1.0
S001,0.25,0.2,0.3,0.25,0.19999999999999996,41.756962025316454,0.9699792517095176,0.8,0.9,0.75
S002,0.25,0.25,0.25,0.25,0.15811388300841894,39.037974683544306,0.9743377374341837,0.6,0.8,0.7
S003,0.25,0.25,0.3,0.2,0.15811388300841894,29.964556962025316,0.9842220747961906,0.8,0.9,0.8
S004,0.25,0.3,0.2,0.25,0.1414213562373095,40.54683544303798,0.9728462262590154,0.6,0.7,0.65
S005,0.25,0.3,0.25,0.2,0.12247448713915889,25.526582278481012,0.9889526290467424,0.8,0.9,0.9
S006,0.25,0.3,0.3,0.15,0.14142135623730948,22.648101265822785,0.9906506799949641,1.0,0.9,0.9
S007,0.25,0.35,0.15,0.25,0.15811388300841897,47.053164556962024,0.962773773659449,0.6,0.7,0.65
S008,0.25,0.35,0.2,0.2,0.12247448713915889,28.169620253164556,0.9871398202585555,0.8,0.8,0.85
S009,0.25,0.35,0.25,0.15,0.12247448713915887,18.28860759493671,0.9941462305730827,1.0,0.9,0.9
S010,0.25,0.35,0.3,0.1,0.15811388300841892,23.954430379746835,0.9893983713757194,1.0,1.0,0.9
S011,0.25,0.4,0.1,0.25,0.2,59.33924050632911,0.9401880434378502,0.6,0.7,0.6
S012,0.25,0.4,0.15,0.2,0.15811388300841897,38.017721518987344,0.9762537674311287,0.8,0.7,0.8
S013,0.25,0.4,0.2,0.15,0.14142135623730953,24.10379746835443,0.9909333274595491,0.8,0.8,0.85
S014,0.25,0.4,0.25,0.1,0.15811388300841897,23.02784810126582,0.9906877481159115,1.0,0.9,0.85
S015,0.25,0.4,0.3,0.05,0.19999999999999998,32.29873417721519,0.9813689003941498,0.8,0.9,0.85
S016,0.3,0.2,0.25,0.25,0.15811388300841894,37.379746835443036,0.975598515985201,0.8,0.9,0.85
S017,0.3,0.2,0.3,0.2,0.15811388300841894,30.31139240506329,0.983651254940261,1.0,0.9,0.85
S018,0.3,0.25,0.2,0.25,0.1224744871391589,36.36202531645569,0.9775065141502925,0.8,0.9,0.85
S019,0.3,0.25,0.25,0.2,0.09999999999999999,22.622784810126582,0.991030293575015,1.0,0.9,0.9
S020,0.3,0.25,0.3,0.15,0.12247448713915887,22.179746835443037,0.9908238754963838,1.0,0.9,0.95
S021,0.3,0.3,0.15,0.25,0.12247448713915891,40.77215189873418,0.9709298798565732,0.8,0.8,0.8
S022,0.3,0.3,0.2,0.2,0.07071067811865477,20.49873417721519,0.9928950658814049,1.0,0.9,0.9
S023,0.3,0.3,0.25,0.15,0.07071067811865474,12.339240506329114,0.997163862817042,1.0,1.0,1.0
S024,0.3,0.3,0.3,0.1,0.12247448713915887,22.815189873417722,0.9900711711573021,1.0,0.9,0.9
S025,0.3,0.35,0.1,0.25,0.15811388300841897,50.88354430379747,0.9536642646824471,0.8,0.8,0.75
S026,0.3,0.35,0.15,0.2,0.1,28.303797468354432,0.9860632627235927,0.8,0.9,0.9
S027,0.3,0.35,0.2,0.15,0.07071067811865474,12.060759493670886,0.9976195354108558,1.0,1.0,0.95
S028,0.3,0.35,0.25,0.1,0.09999999999999998,17.696202531645568,0.9942011390962984,1.0,1.0,0.9
