app_id,name,release_date,is_free,languages,type,price_final,price_initial,price_currency,price_final_formatted,price_discount_percent,price_initial_formatted,price_recurring_sub,price_recurring_sub_desc,full_audio_support,has_recurring_subscription,has_discount,language_count
10,Counter-Strike,2000-11-01,False,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",game,819.0,819.0,EUR,"8,19€",0.0,,,,True,False,False,8
20,Team Fortress Classic,1999-04-01,False,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",game,499.0,499.0,EUR,"4,99€",0.0,,,,False,False,False,9
30,Day of Defeat,2003-05-01,False,"English, French, German, Italian, Spanish - Spain",game,499.0,499.0,EUR,"4,99€",0.0,,,,False,False,False,5
40,Deathmatch Classic,2001-06-01,False,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",game,499.0,499.0,EUR,"4,99€",0.0,,,,False,False,False,9
50,Half-Life: Opposing Force,1999-11-01,False,"English, French, German, Korean",game,499.0,499.0,EUR,"4,99€",0.0,,,,False,False,False,4
60,Ricochet,2000-11-01,False,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",game,499.0,499.0,EUR,"4,99€",0.0,,,,False,False,False,9
70,Half-Life,1998-11-08,False,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",game,,,,,,,,,True,False,False,8
80,Counter-Strike: Condition Zero,2004-03-01,False,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",game,819.0,819.0,EUR,"8,19€",0.0,,,,False,False,False,8
130,Half-Life: Blue Shift,2001-06-01,False,"English, French, German",game,499.0,499.0,EUR,"4,99€",0.0,,,,False,False,False,3
219,Half-Life 2: Demo,2004-12-01,True,English,demo,,,,,,,,,False,False,False,1
220,Half-Life 2,2004-11-16,False,"English, French, German, Italian, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Dutch, Danish, Finnish, Japanese, Norwegian, Polish, Portuguese - Portugal, Swedish, Thai",game,,,,,,,,,True,False,False,18
240,Counter-Strike: Source,2004-11-01,False,"English, French, German, Italian, Japanese, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Turkish",game,975.0,975.0,EUR,"9,75€",0.0,,,,False,False,False,12
280,Half-Life: Source,2004-06-01,False,"English, French, German, Italian, Japanese, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Korean",game,975.0,975.0,EUR,"9,75€",0.0,,,,False,False,False,11
300,Day of Defeat: Source,2010-07-12,False,English,game,975.0,975.0,EUR,"9,75€",0.0,,,,False,False,False,1
320,Half-Life 2: Deathmatch,2004-11-01,False,English,game,499.0,499.0,EUR,"4,99€",0.0,,,,False,False,False,1
340,Half-Life 2: Lost Coast,,False,"английский, французский, немецкий, итальянский, испанский, русский, китайский (упр.), китайский (трад.), корейский",game,,,,,,,,,False,False,False,9
360,Half-Life Deathmatch: Source,,False,Englisch,game,975.0,975.0,EUR,"9,75€",0.0,,,,False,False,False,1
380,Half-Life 2: Episode One,,False,"английский, французский, немецкий, итальянский, корейский, испанский, русский, китайский (упр.), китайский (трад.), нидерландский, датский, финский, японский, норвежский, польский, португальский, шведский, тайский",game,,,,,,,,,False,False,False,18
400,Portal,2007-10-10,False,"English, French, German, Russian, Danish, Dutch, Finnish, Italian, Japanese, Norwegian, Polish, Portuguese - Portugal, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Korean, Bulgarian, Czech, Greek, Hungarian, Portuguese - Brazil, Romanian, Spanish - Latin America, Thai, Turkish, Ukrainian",game,975.0,975.0,EUR,"9,75€",0.0,,,,True,False,False,27
410,Portal: First Slice,2008-05-08,True,"English, French, German, Russian, Danish, Dutch, Finnish, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese",demo,,,,,,,,,True,False,False,17
420,Half-Life 2: Episode Two,2007-10-10,False,"English, French, German, Russian, Danish, Dutch, Finnish, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese",game,659.0,659.0,EUR,"6,59€",0.0,,,,True,False,False,17
440,Team Fortress 2,2007-10-10,True,"English, Danish, Dutch, Finnish, French, German, Italian, Japanese, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Korean, Czech, Hungarian, Portuguese - Brazil, Turkish, Greek, Bulgarian, Romanian, Thai, Ukrainian, Spanish - Latin America",game,,,,,,,,,True,False,False,27
500,Left 4 Dead,2008-11-17,False,"English, French, German, Spanish - Spain, Russian, Danish, Dutch, Finnish, Italian, Japanese, Norwegian, Polish, Portuguese - Portugal, Simplified Chinese, Swedish, Traditional Chinese, Korean, Bulgarian, Czech, Greek, Hungarian, Portuguese - Brazil, Romanian, Spanish - Latin America, Thai, Turkish, Ukrainian, Vietnamese",game,975.0,975.0,EUR,"9,75€",0.0,,,,True,False,False,28
550,Left 4 Dead 2,2009-11-16,False,"Danish, Dutch, English, Finnish, French, German, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Hungarian, Turkish, Bulgarian, Czech, Greek, Portuguese - Brazil, Romanian, Spanish - Latin America, Thai, Ukrainian, Vietnamese",game,975.0,975.0,EUR,"9,75€",0.0,,,,True,False,False,28
570,Dota 2,,True,"болгарский, чешский, датский, нидерландский, английский, финский, французский, немецкий, греческий, венгерский, итальянский, японский, корейский, норвежский, польский, португальский, бр. португальский, румынский, русский, китайский (упр.), испанский, шведский, тайский, китайский (трад.), турецкий, украинский, испанский (латиноам.), вьетнамский",game,,,,,,,,,False,False,False,28
620,Portal 2,2011-04-18,False,"English, French, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Romanian, Russian, Simplified Chinese, Swedish, Thai, Traditional Chinese, Turkish, Bulgarian, Greek, Portuguese - Brazil, Spanish - Latin America, Ukrainian",game,975.0,975.0,EUR,"9,75€",0.0,,,,True,False,False,27
630,Alien Swarm,2010-07-19,True,English,game,,,,,,,,,False,False,False,1
730,Counter-Strike 2,,True,"Czeski, Duński, Holenderski, Angielski, Fiński, Francuski, Niemiecki, Węgierski, Włoski, Japoński, Koreański, Norweski, Polski, Portugalski, Portugalski brazylijski, Rumuński, Rosyjski, Chiński uproszczony, Hiszpański, Szwedzki, Tajski, Chiński tradycyjny, Turecki, Bułgarski, Ukraiński, Grecki, Hiszpański latynoamerykański, Wietnamski, Indonezyjski",game,,,,,,,,,False,False,False,29
1002,Rag Doll Kung Fu,2005-10-12,False,English,game,79.0,79.0,EUR,"0,79€",0.0,,,,False,False,False,1
1003,Rag Doll Kung Fu Demo,2005-10-12,True,English,demo,,,,,,,,,False,False,False,1
1200,Red Orchestra: Ostfront 41-45,2006-03-14,False,"English, French, Russian",game,399.0,399.0,EUR,"3,99€",0.0,,,,False,False,False,3
1250,Killing Floor,2009-05-14,False,"English, French, Italian, German, Spanish - Spain, Hungarian, Polish, Russian",game,1999.0,1999.0,EUR,"19,99€",0.0,,,,True,False,False,8
1300,SiN Episodes: Emergence,2006-05-10,False,"English, Russian, French",game,819.0,819.0,EUR,"8,19€",0.0,,,,False,False,False,3
1313,SiN: Gold,2020-03-18,False,"English, French",game,819.0,819.0,EUR,"8,19€",0.0,,,,False,False,False,2
1500,Darwinia,2005-07-14,False,"English, German, French, Italian, Spanish - Spain",game,975.0,975.0,EUR,"9,75€",0.0,,,,False,False,False,5
1502,Darwinia Demo,2005-07-14,True,English,demo,,,,,,,,,False,False,False,1
1510,Uplink,2006-08-23,False,English,game,975.0,975.0,EUR,"9,75€",0.0,,,,False,False,False,1
1520,DEFCON,2006-09-29,False,"English, French, German, Italian, Spanish - Spain",game,975.0,975.0,EUR,"9,75€",0.0,,,,False,False,False,5
1522,DEFCON Demo,2006-09-29,True,English,demo,,,,,,,,,False,False,False,1
1530,Multiwinia,2008-09-19,False,"English, French, Italian, German, Spanish - Spain",game,975.0,975.0,EUR,"9,75€",0.0,,,,False,False,False,5
1540,Multiwinia Demo,2008-09-19,True,"English, French, Italian, German, Spanish - Spain",demo,,,,,,,,,False,False,False,5
1600,Dangerous Waters,2006-02-07,False,English,game,299.0,1499.0,EUR,"2,99€",80.0,"14,99€",,,False,False,True,1
1610,Space Empires IV Deluxe,2006-02-07,False,English,game,975.0,975.0,EUR,"9,75€",0.0,,,,False,False,False,1
1620,Jagged Alliance 2 Gold,2006-07-06,False,English,game,399.0,1999.0,EUR,"3,99€",80.0,"19,99€",,,False,False,True,1
1630,Disciples II: Rise of the Elves ,2006-07-06,False,English,game,117.0,589.0,EUR,"1,17€",80.0,"5,89€",,,False,False,True,1
1640,Disciples II: Gallean's Return,2006-07-06,False,English,game,117.0,589.0,EUR,"1,17€",80.0,"5,89€",,,False,False,True,1
1670,Iron Warriors: T - 72 Tank Command ,2006-07-26,False,English,game,589.0,589.0,EUR,"5,89€",0.0,,,,False,False,False,1
1690,Space Empires V,2006-10-16,False,English,game,1479.0,1479.0,EUR,"14,79€",0.0,,,,False,False,False,1
1700,Arx Fatalis,2007-04-03,False,"English, French, German, Italian, Spanish - Spain, Russian",game,164.0,499.0,EUR,"1,64€",67.0,"4,99€",,,False,False,True,6
1710,Arx Fatalis Demo,2007-04-04,True,English,demo,,,,,,,,,False,False,False,1
1840,Source Filmmaker,2012-07-10,True,English,game,,,,,,,,,False,False,False,1
1900,Earth 2160,2006-04-01,False,"English, French, German, Spanish - Spain, Italian, Czech, Polish, Russian",game,975.0,975.0,EUR,"9,75€",0.0,,,,True,False,False,8
1930,Two Worlds Epic Edition,2009-04-30,False,"English, French, German, Italian, Spanish - Spain, Czech, Polish, Russian",game,1479.0,1479.0,EUR,"14,79€",0.0,,,,True,False,False,8
2100,Dark Messiah of Might & Magic,2006-10-25,False,"English, French, German, Italian, Spanish - Spain",game,499.0,499.0,EUR,"4,99€",0.0,,,,False,False,False,5
2120,Dark Messiah Singleplayer Demo,2006-09-07,True,"English, French, German, Italian, Japanese, Korean, Portuguese - Portugal, Russian, Traditional Chinese, Simplified Chinese, Spanish - Spain, Thai",demo,,,,,,,,,False,False,False,12
2200,Quake III Arena,2007-08-03,False,English,game,1499.0,1499.0,EUR,"14,99€",0.0,,,,False,False,False,1
2210,Quake 4,2011-08-04,False,English,game,1499.0,1499.0,EUR,"14,99€",0.0,,,,False,False,False,1
2270,Wolfenstein 3D,2007-08-03,False,English,game,499.0,499.0,EUR,"4,99€",0.0,,,,False,False,False,1
2310,Quake,2007-08-03,False,"English, French, Italian, German, Spanish - Spain, Russian",game,999.0,999.0,EUR,"9,99€",0.0,,,,False,False,False,6
2320,Quake II,2007-08-03,False,"English, French, Italian, German, Spanish - Spain, Russian",game,999.0,999.0,EUR,"9,99€",0.0,,,,True,False,False,6
2360,Hexen: Beyond Heretic,2007-08-03,False,English,game,499.0,499.0,EUR,"4,99€",0.0,,,,False,False,False,1
2370,Hexen: Deathkings of the Dark Citadel,2007-08-03,False,English,game,499.0,499.0,EUR,"4,99€",0.0,,,,False,False,False,1
2390,Heretic: Shadow of the Serpent Riders,2007-08-03,False,English,game,499.0,499.0,EUR,"4,99€",0.0,,,,False,False,False,1
2400,The Ship: Murder Party,2006-07-11,False,"English, French, German, Italian, Spanish - Spain, Polish, Russian, Japanese",game,999.0,999.0,EUR,"9,99€",0.0,,,,False,False,False,8
2420,The Ship: Single Player,2006-11-20,False,"English, French, German, Italian, Spanish - Spain, Polish, Russian, Japanese",game,,,,,,,,,False,False,False,8
2450,Bloody Good Time,2010-10-29,False,English,game,499.0,499.0,EUR,"4,99€",0.0,,,,False,False,False,1
2500,Shadowgrounds,2006-05-08,False,English,game,74.0,499.0,EUR,"0,74€",85.0,"4,99€",,,True,False,True,1
2510,Shadowgrounds Demo,2006-05-01,True,English,demo,,,,,,,,,False,False,False,1
2520,Gumboy - Crazy Adventures™,2006-12-19,False,"English, Polish, Russian",game,499.0,499.0,EUR,"4,99€",0.0,,,,False,False,False,3
2540,RIP - Trilogy™,2007-06-01,False,English,game,499.0,499.0,EUR,"4,99€",0.0,,,,False,False,False,1
