primary_publisher,game_count,review_score,avg_owners_mid,avg_language_count,avg_positive_review_ratio,avg_active_users_rate,recent_release_count,avg_price,total_est_revenue,avg_est_revenue_per_game,max_single_game_revenue,recent_release_ratio,avg_owners_mid_norm,avg_language_count_norm,game_count_norm,recent_release_count_norm,avg_active_users_rate_norm
072 Project,34,6.911764705882353,11911.764705882353,4.0,0.8238497394266904,0.0002223529411764706,33,1298.9411764705883,584965000.0,17204852.94117647,165375000.0,0.9705882352941176,0.02240946151079589,0.34653368921458433,0.30153980279160447,0.7291470167501014,0.8431372549019608
0Cube,15,6.785714285714286,31333.333333333332,1.6666666666666667,0.773875670080501,8.888888888888889e-07,0,144.35714285714286,38385000.0,2741785.714285714,11515000.0,0.0,0.14630386357835776,0.21118576672627967,0.09761520293164012,0.0,0.16911764705882354
101XP,12,6.5,90000.0,5.083333333333333,0.7550810344766135,0.00012666666666666666,3,982.0,1068025000.0,97093181.81818181,699650000.0,0.25,0.28147214359651435,0.38875986767052506,0.04352095933159413,0.2866446555001863,0.758578431372549
10tons Ltd,18,7.277777777777778,123333.33333333333,5.0,0.8335061671131243,4.673015873015873e-05,1,1201.3333333333333,3586650000.0,199258333.33333334,1499250000.0,0.05555555555555555,0.321836374452985,0.3857899793833686,0.14238566189952076,0.14332232775009315,0.5772058823529411
11 bit studios,19,7.052631578947368,801578.947368421,9.0,0.8246807207859286,0.00048387969924812034,5,2071.2631578947367,67038030000.0,3528317368.4210525,57750000000.0,0.2631578947368421,0.5616155746919982,0.49577762574199646,0.1557485999176193,0.370482842750058,0.9301470588235294
2 Left Thumbs,15,8.071428571428571,71666.66666666667,4.066666666666666,0.9221415540708602,0.00028565079365079366,11,1079.3333333333333,1124045000.0,74936333.33333333,437150000.0,0.7333333333333333,0.25229141003870625,0.3493855651737051,0.09761520293164012,0.5138051705001512,0.8823529411764706
2Awesome Studio,12,6.4,16250.0,7.583333333333333,0.7735533099770645,2.261904761904762e-05,2,784.0,155755000.0,12979583.333333334,45465000.0,0.16666666666666666,0.06219283637099554,0.4628857443586589,0.04352095933159413,0.22716051499996484,0.44730392156862747
2K,84,6.580246913580247,1566309.5238095238,6.261904761904762,0.7569912326849458,0.0025052819727891156,7,4336.820512820513,877686225000.0,11252387500.0,524650000000.0,0.08333333333333333,0.6474347352165165,0.42688959680172106,0.5327001862224586,0.4299669832502795,0.9987745098039216
2P Games,21,7.285714285714286,80000.0,3.4761904761904763,0.8368336911107954,0.00021977324263038547,15,1174.8095238095239,2365730000.0,112653809.52380952,594650000.0,0.7142857142857143,0.26638329282758,0.3227058998896206,0.18057882461709088,0.5732893110003726,0.8419117647058824
3000AD,11,4.6,42727.27272727273,1.0,0.17982545603183261,6.060606060606061e-07,0,556.4,275420000.0,27542000.0,74925000.0,0.0,0.18603631038998455,0.14924393652741208,0.022668219139849854,0.0,0.16053921568627452
3D Realms,23,6.318181818181818,53260.86956521739,3.4782608695652173,0.7492328497614884,4.761904761904762e-05,7,1264.5714285714287,2113295000.0,100633095.23809524,874650000.0,0.30434782608695654,0.21426631974143642,0.32280546682185074,0.20324704375694072,0.4299669832502795,0.5784313725490197
3dm_live_wallpapers,14,5.846153846153846,27500.0,11.571428571428571,0.7366433612728002,0.0009661904761904762,1,299.07142857142856,124125000.0,8866071.42857143,29925000.0,0.07142857142857142,0.12958670112592563,0.5450503026975805,0.08080161612582903,0.14332232775009315,0.9669117647058824
430Games,13,5.416666666666667,11923.076923076924,8.923076923076923,0.6445061963253765,0.00013846153846153847,8,156.0,21755000.0,1673461.5384615385,4990000.0,0.6153846153846154,0.022531054236311854,0.4941149650698859,0.06282758118853439,0.4543210299999297,0.7745098039215687
505 Games,48,6.361702127659575,490833.3333333333,9.270833333333334,0.7290956161701189,0.0002422579365079365,6,1879.3541666666667,58095570000.0,1210324375.0,10496500000.0,0.125,0.49878108133275006,0.5015314631603097,0.3891976086796104,0.4023566422499772,0.8578431372549019
616 GAMES,12,6.75,14166.666666666666,1.1666666666666667,0.7525161026947634,3.928571428571428e-05,6,278.1666666666667,45830000.0,3819166.6666666665,10465000.0,0.5,0.04461734169328633,0.16647821103439517,0.04352095933159413,0.4023566422499772,0.5416666666666666
727 Not Hound,11,7.222222222222222,10000.0,1.5454545454545454,0.8970427087320808,4.545454545454546e-05,7,667.1818181818181,73390000.0,6671818.181818182,16790000.0,0.6363636363636364,0.0,0.2011693799394799,0.022668219139849854,0.4299669832502795,0.5735294117647058
7DOTS,11,7.454545454545454,28636.363636363636,2.1818181818181817,0.8428694374718646,1.0303030303030304e-05,0,440.45454545454544,152295000.0,13845000.0,61425000.0,0.0,0.13477381094428456,0.24921519609924006,0.022668219139849854,0.0,0.33578431372549017
7miao game,11,4.5,49090.90909090909,3.5454545454545454,0.3967532467532467,0.0,9,169.9090909090909,95010000.0,8637272.727272727,69650000.0,0.8181818181818182,0.20382207479437428,0.32601212204375357,0.022668219139849854,0.4761064671776892,0.07659313725490197
8Floor,48,6.390243902439025,128020.83333333333,4.145833333333333,0.6905297100346677,3.866468253968254e-05,2,457.3333333333333,1244620000.0,25929583.333333332,131850000.0,0.041666666666666664,0.326615083913937,0.35272382564158083,0.3891976086796104,0.22716051499996484,0.5367647058823529
8floor,268,5.752808988764045,10522.388059701492,3.925373134328358,0.5826150670905427,2.6865671641791047e-05,43,469.410447761194,1322880000.0,4936119.402985075,37425000.0,0.16044776119402984,0.006522669403011228,0.3432958314004799,0.8328350908348392,0.7824584477755563,0.48284313725490197
AFBIK Studio,21,5.809523809523809,22142.85714285714,21.80952380952381,0.6985856524616701,1.9727891156462588e-05,0,94.28571428571429,42570000.0,2027142.857142857,7425000.0,0.0,0.10183038858873855,0.6733236343791877,0.18057882461709088,0.0,0.42769607843137253
AK Studio,12,5.916666666666667,26250.0,5.083333333333333,0.7474411697774629,0.0,3,841.6666666666666,256805000.0,21400416.666666668,74925000.0,0.25,0.12362730536315605,0.38875986767052506,0.04352095933159413,0.2866446555001863,0.07659313725490197
ALPHY,12,,10000.0,1.1666666666666667,0.5,0.0,0,182.41666666666666,21890000.0,1824166.6666666667,10000000.0,0.0,0.0,0.16647821103439517,0.04352095933159413,0.0,0.07659313725490197
AMG GAMES,10,7.4,10000.0,2.1,0.948063215941836,0.0,2,567.0,56700000.0,5670000.0,27990000.0,0.2,0.0,0.2436061339497215,0.0,0.22716051499996484,0.07659313725490197
ANPA.US,35,4.90625,60142.857142857145,1.7428571428571429,0.4893116974163467,4.326530612244899e-06,0,99.0,208395000.0,5954142.857142857,34650000.0,0.0,0.22983391037600379,0.21725133648094966,0.3088788845822412,0.0,0.22426470588235295
ARTE France,13,7.0,50000.0,7.3076923076923075,0.8194100555028273,2.527472527472528e-05,2,800.6923076923077,423170000.0,32551538.46153846,174650000.0,0.15384615384615385,0.20617271119921624,0.45585781120492996,0.06282758118853439,0.22716051499996484,0.4693627450980392
ARTLINK,13,6.0,10000.0,2.3076923076923075,0.7641414141414141,7.692307692307692e-06,4,2677.5384615384614,348080000.0,26775384.615384616,58990000.0,0.3076923076923077,0.0,0.25756892221392935,0.06282758118853439,0.33278413942759594,0.27512254901960786
Absolutist Ltd.,11,5.545454545454546,92272.72727272728,4.363636363636363,0.6607667888573544,2.8484848484848483e-05,0,363.0,253510000.0,23046363.636363637,59925000.0,0.0,0.2846670041784457,0.3616496129595532,0.022668219139849854,0.0,0.4889705882352941
Abyssal Studios,11,7.181818181818182,15909.09090909091,1.0909090909090908,0.918066270047552,9.090909090909091e-06,1,157.1818181818182,23725000.0,2156818.1818181816,7425000.0,0.09090909090909091,0.0594768185549878,0.15881500053476164,0.022668219139849854,0.14332232775009315,0.30392156862745096
Accelerate Games,30,6.3,43666.666666666664,1.9333333333333333,0.7301428253920641,7.307936507936509e-05,0,1032.3333333333333,1274190000.0,42473000.0,74925000.0,0.0,0.18882230373899034,0.23170733389711048,0.26992285111526687,0.0,0.6568627450980392
Activision,65,6.828125,2040923.076923077,4.630769230769231,0.7784358675611392,0.00017824105494505495,5,2597.377049180328,199989470000.0,3278515901.639344,44992500000.0,0.07692307692307693,0.6813425157759551,0.3721146865190088,0.4667894900594821,0.370482842750058,0.8137254901960784
Adamvision Studios,10,8.3,89500.0,11.6,0.9499931136459935,1.3333333333333333e-05,1,189.0,105105000.0,10510500.0,34650000.0,0.1,0.28075845234605185,0.5455390962948117,0.0,0.14332232775009315,0.3633578431372549
Aerosoft GmbH,44,5.4772727272727275,115454.54545454546,7.159090909090909,0.6222270635063807,0.0005335584415584416,10,2178.953488372093,11295355000.0,262682674.41860464,2249250000.0,0.22727272727272727,0.3133795035311282,0.45197159329506337,0.3670122815682204,0.49581379227537004,0.9436274509803921
Afil Games,12,6.714285714285714,12083.333333333334,2.6666666666666665,0.8162374484602803,8.333333333333334e-06,9,372.3333333333333,49655000.0,4137916.6666666665,12790000.0,0.75,0.024241333356207522,0.2797531500568707,0.04352095933159413,0.4761064671776892,0.2861519607843137
Ahlman Game Studio,12,5.666666666666667,14166.666666666666,1.0,0.686511931708543,0.0,0,0.0,0.0,0.0,0.0,0.0,0.04461734169328633,0.14924393652741208,0.04352095933159413,0.0,0.07659313725490197
Airem,15,6.222222222222222,42000.0,43.6,0.7646643999806337,2.46984126984127e-05,0,183.5,225020000.0,22502000.0,174650000.0,0.0,0.1838370177236822,0.8177033203058168,0.09761520293164012,0.0,0.4632352941176471
Akella,13,5.538461538461538,73076.92307692308,2.4615384615384617,0.6237898269861272,4.212454212454213e-05,0,910.5384615384615,962650000.0,74050000.0,524650000.0,0.0,0.254787814912029,0.2673575845087337,0.06282758118853439,0.0,0.5563725490196079
Aksys Games,17,6.375,15294.117647058823,3.764705882352941,0.7309226216531881,0.00026823529411764704,4,3379.0,994340000.0,58490588.23529412,412425000.0,0.23529411764705882,0.05442678906117266,0.33615512658610514,0.12830005996515034,0.33278413942759594,0.8762254901960784
Akupara Games,32,7.296296296296297,162968.75,8.15625,0.8524086795677356,0.0003756160714285714,6,1337.34375,7076270000.0,221133437.5,3675000000.0,0.1875,0.3575358778901624,0.47679808920190864,0.2862106654423914,0.4023566422499772,0.9117647058823529
Alawar,15,7.066666666666666,382666.6666666667,8.0,0.8234717776925048,0.00023472380952380953,4,694.6666666666666,2950740000.0,196716000.0,612150000.0,0.26666666666666666,0.46688973804383904,0.47309208571191314,0.09761520293164012,0.33278413942759594,0.8566176470588235
Alawar Casual,126,6.783783783783784,18849.20634920635,5.444444444444445,0.8466183919789734,0.00013677248677248678,16,304.8412698412698,612235000.0,4859007.936507937,34650000.0,0.12698412698412698,0.08120024566387146,0.4011760581036925,0.6373083708200562,0.5858246890000082,0.7720588235294118
Aldorlea Games,55,6.205128205128205,61363.63636363636,1.0545454545454545,0.7085219121934643,3.116883116883117e-06,7,666.3818181818182,2078610000.0,37792909.09090909,209650000.0,0.12727272727272726,0.23240817768729036,0.15503747404487186,0.4239852304227163,0.4299669832502795,0.2034313725490196
Alternative Software Ltd,22,5.473684210526316,19318.18181818182,1.6363636363636365,0.6353419510910009,7.51948051948052e-05,1,1691.1818181818182,448400000.0,20381818.181818184,39075000.0,0.045454545454545456,0.08434846745145101,0.2087250143753663,0.1921594055706405,0.14332232775009315,0.6654411764705882
Amaterasu Software,13,5.166666666666667,441923.07692307694,1.0,0.6345357546071723,4.2051282051282055e-06,0,62.15384615384615,333230000.0,25633076.923076924,66750000.0,0.0,0.4853336970454453,0.14924393652741208,0.06282758118853439,0.0,0.22058823529411764
Ammonite Design Studios Ltd,30,6.0,13833.333333333334,1.0,0.6104503339797457,0.0,9,367.3333333333333,131585000.0,4386166.666666667,19990000.0,0.3,0.041567208913300624,0.14924393652741208,0.26992285111526687,0.4761064671776892,0.07659313725490197
Anamik Majumdar,52,4.823529411764706,16634.615384615383,1.0,0.4490028738031834,0.0,12,263.25,262295000.0,5044134.615384615,29925000.0,0.23076923076923078,0.06518948492075692,0.14924393652741208,0.409641047648492,0.53035563410288,0.07659313725490197
Anarchy Enterprises,11,5.181818181818182,30909.090909090908,1.5454545454545454,0.5645185989613338,5.194805194805194e-06,0,417.6363636363636,115885000.0,10535000.0,22425000.0,0.0,0.14455752316839035,0.2011693799394799,0.022668219139849854,0.0,0.23897058823529413
Anatoliy Loginovskikh,33,7.53125,57575.757575757576,1.2424242424242424,0.8632175907379225,1.0216450216450216e-05,1,215.4848484848485,388235000.0,11764696.969696969,69650000.0,0.030303030303030304,0.2242457664433814,0.1738780282010685,0.29398796461938853,0.14332232775009315,0.33455882352941174
Andy Jurko,18,7.0,10000.0,1.0,0.9370039682539681,6.111111111111112e-05,0,676.0588235294117,114930000.0,6760588.235294118,6990000.0,0.0,0.0,0.14924393652741208,0.14238566189952076,0.0,0.6237745098039216
AnelaGamesStudio,10,6.428571428571429,12500.0,3.0,0.6953983516483516,1e-05,1,1102.0,130675000.0,13067500.0,28665000.0,0.1,0.02858406286464565,0.29848787305482416,0.0,0.14332232775009315,0.3247549019607843
